id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
84;London Power Networks (LPN);Brimsdown;;Grove Lodge 33kV;GROT32;GROT3B;Grove Lodge 33kV;lne_GROT-TP2_GROL-FT2;33;0.0;0.01;0.0;320;340;1.000
122;London Power Networks (LPN);City Road;;Beech St A 33kV;BEEA31;FINF31;Finsbury Mkt F 33kV;lne_FINF_BEEA_3;33;0.37;0.58;0.23;510;550;0.920
287;London Power Networks (LPN);Hackney 66kV;LPN-S000000003452;Hackney Sgrid 66kV;HACS61;HACS6E;Hackney Sgrid 66kV;lne_HACS_SGT2;66;0.0;0.1;0.0;;875;1.000
292;London Power Networks (LPN);Hurst 132kV;;Bromley Grid 33kV;BROG31;BROS32;Bromley South 33kV;lne_BROG_BROS_1;33;2.71;2.21;0.55;970;1020;1.000
294;London Power Networks (LPN);Hurst 132kV;;Bromley Grid 33kV;BROG31;BROS31;Bromley South 33kV;lne_BROG_BROS_3;33;2.72;2.22;0.55;970;1020;1.000
365;London Power Networks (LPN);Littlebrook;;Dartford Grid A 33kV;DARA32;DART3B;Dartford Grid A 33kV;lne_DARA_GRID2A;33;0.34;0.96;0.11;657;728;1.000
411;London Power Networks (LPN);Lodge Road;LPN-S000000003360;Lodge Rd B 66kV;LODB61;MOSD66;Moscow Rd 66kV;lne_LODB_MOSD2;66;0.48;0.64;1.68;390;470;2.780
415;London Power Networks (LPN);Lodge Road;LPN-S000000003369;Moscow Rd 22kV;MOSC81;MOSC8B;Moscow Rd 22kV;lne_MOSC_MOSW_2;22;0.0;0.01;0.0;350;360;1.000
433;London Power Networks (LPN);New Cross 132kV;LPN-S000000003722;Deptford West 22kV;DEPW81;NECK84;Neckinger 22kV;lne_DEPW_NECK_4;22;5.66;5.31;0.55;380;410;1.000
444;London Power Networks (LPN);New Cross 132kV;;Osborn St B 11kV;OSBB51;OSBB5E;Osborn St B 11kV;Lne_GT1A;11;0.09;0.18;0.0;714;786;0.025
446;London Power Networks (LPN);New Cross 132kV;;Osborn St B 11kV;OSBB52;OSBB5A;Osborn St B 11kV;lne_OSBB_GT2A;11;0.04;0.07;0.0;714;786;0.010
455;London Power Networks (LPN);New Cross 66kV;;Bengeworth Rd Grid 33kV;BENB33;BENB3I;Bengeworth Rd Grid 33kV;lne_BENB_BENR/CHAD2;33;0.0;0.1;0.0;490;520;1.000
