name,url,type,fuel,capacity_mw,operator,location,latitude,longitude,commissioned,status
Braes of Doune Wind Farm,https://electricityproduction.uk/plant/GBR0003119/,,Wind,72.0,Greencoat UK Wind,,,,,
Greencoat UK Wind,https://electricityproduction.uk/plant/owner/greencoat-uk-wind/,,,308.55,,,,,,
Riverside Resource Recovery Facility (RRRF),https://electricityproduction.uk/plant/GBR0000859/,,Waste,72.0,Cory Environmental,,,,,
Cory Environmental,https://electricityproduction.uk/plant/owner/cory-environmental/,,,82.2,,,,,,
Gordonbush,https://electricityproduction.uk/plant/GBR0003662/,,Wind,70.0,Scottish and Southern Energy (SSE),,,,,
Defence Infrastructure Organisation,https://electricityproduction.uk/plant/owner/defence-infrastructure-organisation/,,,69.8,,,,,,
Lochluichart,https://electricityproduction.uk/plant/GBR0004123/,,Wind,69.0,Eneco,,,,,
Eneco,https://electricityproduction.uk/plant/owner/eneco/,,,146.5,,,,,,
Dersalloch,https://electricityproduction.uk/plant/GBR0004269/,,Wind,69.0,Scottish Power Renewables,,,,,
Corriegarth,https://electricityproduction.uk/plant/GBR0004664/,,Wind,69.0,Greencoat Capital,,,,,
Greencoat Capital,https://electricityproduction.uk/plant/owner/greencoat-capital/,,,200.18,,,,,,
Keadby,https://electricityproduction.uk/plant/GBR0004260/,,Wind,68.0,Scottish and Southern Energy (SSE),,,,,
Strathy North,https://electricityproduction.uk/plant/GBR0004625/,,Wind,67.65,Scottish and Southern Energy (SSE),,,,,
Kilbraur,https://electricityproduction.uk/plant/GBR0002673/,,Wind,67.5,Falck Renewables,,,,,
Falck Renewables,https://electricityproduction.uk/plant/owner/falck-renewables/,,,225.35,,,,,,
Lerwick,https://electricityproduction.uk/plant/GBR1000414/,,Oil,67.0,Scottish and Southern: Island Generation,,,,,
Scottish and Southern: Island Generation,https://electricityproduction.uk/plant/owner/scottish-and-southern-island-generation/,,,125.0,,,,,,
Berry Burn,https://electricityproduction.uk/plant/GBR0004261/,,Wind,66.7,Statkraft,,,,,
Statkraft,https://electricityproduction.uk/plant/owner/statkraft/,,,66.7,,,,,,
Galawhistle,https://electricityproduction.uk/plant/GBR0004368/,,Wind,66.0,Ventient (formerly Infinis),,,,,
Ventient (formerly Infinis),https://electricityproduction.uk/plant/owner/ventient-formerly-infinis/,,,128.0,,,,,,
Fullabrook Down Wind Farm,https://electricityproduction.uk/plant/GBR0004033/,,Wind,66.0,Devon Wind Power Ltd,,,,,
Devon Wind Power Ltd,https://electricityproduction.uk/plant/owner/devon-wind-power-ltd/,,,66.0,,,,,,
Gunfleet Sands 2,https://electricityproduction.uk/plant/GBR0002489/,,Wind,65.0,Orsted (formerly Dong Energy),,,,,
Scout Moor,https://electricityproduction.uk/plant/GBR0003177/,,Wind,65.0,Munich Re (previously Peel),,,,,
Munich Re (previously Peel),https://electricityproduction.uk/plant/owner/munich-re-previously-peel/,,,65.0,,,,,,
Millennium,https://electricityproduction.uk/plant/GBR0002723/,,Wind,65.0,West Coast Energy Ltd/Falck Renewables,,,,,
West Coast Energy Ltd/Falck Renewables,https://electricityproduction.uk/plant/owner/west-coast-energy-ltdfalck-renewables/,,,65.0,,,,,,
Markinch CHP,https://electricityproduction.uk/plant/GBR0000155/,,Cogeneration,65.0,RWE,,,,,
Paul's Hill,https://electricityproduction.uk/plant/GBR0004687/,,Wind,64.0,Fred Olsen Renewables,,,,,
Crystal Rig,https://electricityproduction.uk/plant/GBR0003114/,,Wind,63.0,Fred Olsen Renewables,,,,,
Teesside,https://electricityproduction.uk/plant/GBR0002514/,,Wind,62.0,EDF Energy - Northern Offshore Windfarm Ltd,,,,,
EDF Energy - Northern Offshore Windfarm Ltd,https://electricityproduction.uk/plant/owner/edf-energy-northern-offshore-windfarm-ltd/,,,62.0,,,,,,
Windy Standard II Wind Farm (Brockloch Rig Phase 1),https://electricityproduction.uk/plant/GBR0004431/,,Wind,61.5,Fred Olsen Renewables,,,,,
Clunie,https://electricityproduction.uk/plant/GBR1000405/,,Hydro,61.2,Scottish and Southern: Hydro Schemes - Tummel,,,,,
Scottish and Southern: Hydro Schemes - Tummel,https://electricityproduction.uk/plant/owner/scottish-and-southern-hydro-schemes-tummel/,,,140.2,,,,,,
Aikengall II  Wester Dod Community Wind Farm,https://electricityproduction.uk/plant/GBR0004332/,,Wind,60.8,Community Windpower,,,,,
Community Windpower,https://electricityproduction.uk/plant/owner/community-windpower/,,,117.6,,,,,,
North Hoyle,https://electricityproduction.uk/plant/GBR0002494/,,Wind,60.0,Greencoat (formerly Npower Renewables),,,,,
Greencoat (formerly Npower Renewables),https://electricityproduction.uk/plant/owner/greencoat-formerly-npower-renewables/,,,60.0,,,,,,
Moy,https://electricityproduction.uk/plant/GBR0003647/,,Wind,60.0,Eneco,,,,,
Scroby Sands,https://electricityproduction.uk/plant/GBR0002498/,,Wind,60.0,E.On,,,,,
Edmonton,https://electricityproduction.uk/plant/GBR0004924/,,Waste,60.0,Londonwaste,,,,,
Londonwaste,https://electricityproduction.uk/plant/owner/londonwaste/,,,60.0,,,,,,
Little Cheyne Court,https://electricityproduction.uk/plant/GBR0003096/,,Wind,59.8,RWE npower,,,,,
Blackburn,https://electricityproduction.uk/plant/GBR1000464/,,Gas,59.0,Scottish Power: Thermal,,,,,
Cefn Croes,https://electricityproduction.uk/plant/GBR0002563/,,Wind,59.0,Renewable Development Company Ltd  KENTECH Ltd,,,,,
Renewable Development Company Ltd  KENTECH Ltd,https://electricityproduction.uk/plant/owner/renewable-development-company-ltd-kentech-ltd/,,,59.0,,,,,,
Mid Hill I,https://electricityproduction.uk/plant/GBR0004667/,,Wind,57.5,Fred Olsen Renewables,,,,,
Brechfa Forest West,https://electricityproduction.uk/plant/GBR2001040/,,Wind,57.4,RWE Npower Renewables,,,,,
Mark Hill,https://electricityproduction.uk/plant/GBR0003260/,,Wind,56.0,Force 9 Energy,,,,,
Force 9 Energy,https://electricityproduction.uk/plant/owner/force-9-energy/,,,56.0,,,,,,
Castleford,https://electricityproduction.uk/plant/GBR1000113/,,Gas,56.0,E.On UK,,,,,
